date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:04	39399/39399	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:02:03%20GMT	https://www.google.de/webhp	/home/benjamin/websites/google/www.google.de/webhp.html	(from https://www.google.de/preferences?hl=de)
12:02:04	225/225	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Mar%202018%2010:02:04%20GMT	https://www.google.de/about.html	/home/benjamin/websites/google/www.google.de/about.3f.delayed	(from https://www.google.de/preferences?hl=de)
12:02:05	886/886	---M--	200	added ('OK')	image/gif	date:Thu,%2008%20Dec%202016%2001:00:57%20GMT	https://www.google.de/images/yellow_warning.gif	/home/benjamin/websites/google/www.google.de/images/yellow_warning.gif	(from https://www.google.de/preferences?hl=de)
12:02:05	68156/68156	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202018%2015:00:00%20GMT	https://www.google.de/about/	/home/benjamin/websites/google/www.google.de/about/index.html	(from https://www.google.de/preferences?hl=de)
12:02:05	39198/39198	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:02:05%20GMT	https://www.google.de/?hl=de	/home/benjamin/websites/google/www.google.de/index0016.html	(from https://www.google.de/advanced_search?hl=de&authuser=0)
12:02:05	932/932	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2018:00:00%20GMT	https://www.google.de/intl/de/policies/	/home/benjamin/websites/google/www.google.de/intl/de/policies/index.html	(from https://www.google.de/advanced_search?hl=de&authuser=0)
12:02:06	9101/9101	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2017:00:00%20GMT	https://www.google.de/intl/de/ads/images/cards-searchads.jpg	/home/benjamin/websites/google/www.google.de/intl/de/ads/images/cards-searchads.jpg	(from https://www.google.de/intl/de/ads/)
12:02:06	99357/99357	---MC-	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2019:00:00%20GMT	https://www.google.de/ads/css/rs.ads.min.css	/home/benjamin/websites/google/www.google.de/ads/css/rs.ads.min.css	(from https://www.google.de/intl/de/ads/)
12:02:06	32544/32544	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2006:00:00%20GMT	https://www.google.de/intl/de/ads/publisher/?sourceid=awo&subid=de-ww-et-adsol_publ_v2	/home/benjamin/websites/google/www.google.de/intl/de/ads/publisher/index107b.html	(from https://www.google.de/intl/de/ads/)
12:02:06	8927/8927	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2017:00:00%20GMT	https://www.google.de/intl/de/ads/images/cards-displayads.jpg	/home/benjamin/websites/google/www.google.de/intl/de/ads/images/cards-displayads.jpg	(from https://www.google.de/intl/de/ads/)
12:02:06	17355/17355	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2017:00:00%20GMT	https://www.google.de/intl/de/ads/images/cards-videoads.jpg	/home/benjamin/websites/google/www.google.de/intl/de/ads/images/cards-videoads.jpg	(from https://www.google.de/intl/de/ads/)
